,NOME,x,y
0,São Paulo,77.0,-91.0
1,Paraná,47.0,-121.0
2,Santa Catarina,69.0,-155.0
3,Rio Grande do Sul,23.0,-184.0
4,Mato Grosso do Sul,7.0,-67.0
5,Rondônia,95.0,45.0
6,Acre,201.0,67.0
7,Amazonas,-110.0,131.0
8,Roraima,-74.0,206.0
9,Pará,29.0,121.0
10,Amapá,42.0,193.0
11,Tocantins,83.0,56.0
12,Maranhão,125.0,120.0
13,Rio Grande do Norte,243.0,111.0
14,Paraíba,238.0,91.0
15,Pernambuco,213.0,74.0
16,Alagoas,233.0,58.0
17,Sergipe,223.0,46.0
18,Bahia,164.0,32.0
19,Minas Gerais,131.0,-50.0
20,Rio de Janeiro,160.0,-95.0
21,Mato Grosso,69.0,-16.0
22,Goiás,93.0,-16.0
23,Distrito Federal,66.0,-30.0
24,Piauí,154.0,77.0
25,Ceará,192.0,122.0
26,Espírito Santo,187.0,-61.0
